rank,provider,model,effort,TTFT_sec,TPS,avg_tokens,10K_total_sec
1,opencode,big-pickle,,10.402,986.1,1216,20.5
2,freetheai,bbl/gemini-3.0-flash,,7.754,241.1,204,49.2
3,freetheai,glm/glm-4.6,,29.231,366.1,1236,56.5
4,nvidia,mistralai/mistral-small-4-119b-2603,,0.231,174.4,194,57.6
5,nvidia,nvidia/nemotron-3-nano-30b-a3b,,0.678,163.2,1226,62.0
6,nvidia,openai/gpt-oss-120b,,0.275,153.5,440,65.4
7,nvidia,mistralai/mistral-large-3-675b-instruct-2512,,0.229,136.1,253,73.7
8,nvidia,openai/gpt-oss-20b,,0.664,103.2,1088,97.5
9,nvidia,nvidia/nemotron-mini-4b-instruct,,0.293,101.5,487,98.8
10,nvidia,z-ai/glm-5.1,,2.165,87.8,140,116.0
11,nvidia,meta/llama-4-maverick-17b-128e-instruct,,0.393,77.3,622,129.8
12,nvidia,meta/llama-3.2-3b-instruct,,1.302,65.4,491,154.3
13,kilo,openrouter/free,,0.930,60.9,2000,165.0
14,nvidia,qwen/qwen3-next-80b-a3b-instruct,,0.524,59.7,562,168.1
15,nvidia,mistralai/mistral-nemotron,,0.351,56.4,268,177.8
16,nvidia,nvidia/nemotron-nano-12b-v2-vl,,0.306,48.8,393,205.3
17,freetheai,glm/glm-4.5,,7.082,50.3,444,206.0
18,nvidia,nvidia/nvidia-nemotron-nano-9b-v2,,0.267,48.0,2026,208.5
19,kilo,poolside/laguna-xs.2:free,,0.471,45.0,582,222.6
20,nvidia,stepfun-ai/step-3.5-flash,,4.311,43.8,1839,232.8
21,nvidia,moonshotai/kimi-k2.6,,,42.8,191,233.8
22,nvidia,qwen/qwen3.5-397b-a17b,,2.771,41.5,150,243.7
23,nvidia,upstage/solar-10.7b-instruct,,0.276,37.0,446,270.5
24,nvidia,meta/llama-3.2-11b-vision-instruct,,15.317,37.9,512,278.9
25,nvidia,nvidia/llama-3.1-nemotron-nano-vl-8b-v1,,0.614,34.3,876,292.1
26,nvidia,sarvamai/sarvam-m,,0.348,32.6,1845,307.1
27,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,,0.229,28.7,587,348.4
28,nvidia,mistralai/ministral-14b-instruct-2512,,10.606,28.4,198,362.2
29,nvidia,stockmark/stockmark-2-100b-instruct,,0.361,26.8,426,373.2
30,nvidia,mistralai/mistral-medium-3.5-128b,,24.976,25.9,180,411.3
31,nvidia,meta/llama-3.3-70b-instruct,,6.948,22.3,454,454.7
32,nvidia,google/gemma-3n-e2b-it,,0.351,20.4,251,490.1
33,nvidia,google/gemma-3n-e4b-it,,0.383,19.7,244,507.9
34,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1.5,,1.106,16.8,2000,596.4
35,nvidia,meta/llama-3.1-70b-instruct,,0.446,15.0,500,665.0
36,nvidia,mistralai/mixtral-8x7b-instruct-v0.1,,0.485,10.0,379,998.9
37,nvidia,meta/llama-3.2-90b-vision-instruct,,0.274,9.1,510,1100.6
38,nvidia,abacusai/dracarys-llama-3.1-70b-instruct,,0.547,9.1,603,1104.9
39,kilo,poolside/laguna-m.1:free,,0.904,7.9,1163,1261.8
40,kilo,kilo-auto/free,,1.134,6.5,1250,1533.6
