rank,provider,model,effort,TTFT_sec,TPS,avg_tokens,10K_total_sec
1,opencode,big-pickle,,4.529,463.1,518,26.1
2,nvidia,meta/llama-3.2-1b-instruct,,0.293,234.7,385,42.9
3,nvidia,openai/gpt-oss-120b,,0.533,184.1,546,54.9
4,nvidia,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,,0.844,162.8,1003,62.3
5,kilo,openrouter/free,,0.730,127.7,2000,79.1
6,nvidia,mistralai/mistral-large-3-675b-instruct-2512,,0.291,119.9,253,83.7
7,nvidia,nvidia/nemotron-3-nano-30b-a3b,,0.627,118.1,935,85.3
8,kilo,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,,0.816,117.2,964,86.1
9,nvidia,stepfun-ai/step-3.5-flash,,0.288,104.6,565,95.9
10,nvidia,nvidia/nemotron-mini-4b-instruct,,0.311,92.7,527,108.2
11,nvidia,meta/llama-3.2-3b-instruct,,0.316,91.3,465,109.9
12,nvidia,meta/llama-4-maverick-17b-128e-instruct,,0.552,86.2,612,116.6
13,nvidia,mistralai/mistral-small-4-119b-2603,,0.335,80.3,183,124.9
14,nvidia,qwen/qwen3.5-122b-a10b,,0.370,79.8,155,125.7
15,nvidia,openai/gpt-oss-20b,,2.309,74.3,763,136.8
16,nvidia,mistralai/mistral-nemotron,,0.265,58.1,267,172.4
17,nvidia,meta/llama-3.2-11b-vision-instruct,,0.340,51.5,513,194.6
18,nvidia,minimaxai/minimax-m2.7,,25.807,58.4,260,197.0
19,kilo,kilo-auto/free,,1.873,50.4,1026,200.3
20,nvidia,nvidia/nemotron-nano-12b-v2-vl,,0.268,44.2,355,226.6
21,nvidia,nvidia/llama-3.1-nemotron-nano-vl-8b-v1,,0.334,41.4,876,241.7
22,kilo,poolside/laguna-m.1:free,,1.123,38.2,1455,262.9
23,nvidia,upstage/solar-10.7b-instruct,,0.336,37.0,446,270.6
24,nvidia,mistralai/mistral-medium-3.5-128b,,28.262,40.7,181,273.8
25,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1.5,,0.624,36.5,2000,274.5
26,nvidia,sarvamai/sarvam-m,,0.347,30.2,1782,331.3
27,nvidia,qwen/qwen3-next-80b-a3b-instruct,,1.353,23.2,551,433.1
28,nvidia,mistralai/mixtral-8x7b-instruct-v0.1,,0.470,22.5,364,444.7
29,nvidia,google/gemma-4-31b-it,,1.571,22.1,425,453.9
30,nvidia,google/gemma-3n-e2b-it,,0.414,21.2,251,471.4
31,nvidia,abacusai/dracarys-llama-3.1-70b-instruct,,0.451,20.2,606,494.7
32,nvidia,google/gemma-3n-e4b-it,,0.418,18.7,244,535.4
33,nvidia,qwen/qwen3.5-397b-a17b,,1.014,18.2,153,551.1
34,nvidia,meta/llama-3.1-70b-instruct,,0.454,15.6,491,643.2
35,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,,0.394,15.5,620,647.6
36,nvidia,meta/llama-3.2-90b-vision-instruct,,4.213,12.7,515,794.6
