rank,provider,model,effort,TTFT_sec,TPS,avg_tokens,10K_total_sec
1,cerebras,gpt-oss-120b,,0.099,2499.6,479,4.1
2,cerebras,zai-glm-4.7,,0.121,1085.6,992,9.3
3,groq,llama-3.1-8b-instant,,0.088,965.3,394,10.4
4,groq,openai/gpt-oss-20b,,0.123,952.5,516,10.6
5,groq,openai/gpt-oss-safeguard-20b,,0.220,914.3,470,11.2
6,groq,allam-2-7b,,0.332,865.1,445,11.9
7,groq,llama-3.3-70b-versatile,,0.317,539.8,420,18.8
8,groq,groq/compound-mini,,0.143,491.0,1097,20.5
9,groq,openai/gpt-oss-120b,,0.123,482.9,517,20.8
10,opencode_zen,deepseek-v4-flash-free,,3.953,575.1,569,21.3
11,opencode_zen,big-pickle,,3.846,452.6,719,25.9
12,opencode_zen-nokey,deepseek-v4-flash-free,,4.141,397.0,641,29.3
13,navy,gemini-2.5-flash,,0.893,317.5,237,32.4
14,navy,gpt-5.4-mini,,0.847,297.0,233,34.5
15,opencode_zen-nokey,big-pickle,,3.072,311.2,644,35.2
16,navy,gemini-2.5-flash-thinking,,1.873,258.6,1986,40.5
17,agnes-ai,agnes-2.0-flash,,2.839,259.6,206,41.4
18,ktai-paid,deepseek-ai/deepseek-v4-flash,,2.719,239.4,401,44.5
19,dext,gemma-4-26b-a4b-it,,6.031,259.6,899,44.5
20,groq,groq/compound,,0.386,223.9,599,45.0
21,navy,gpt-5.4-nano,,0.615,217.6,170,46.6
22,navy,gpt-5.4,,1.159,218.4,236,46.9
23,navy,gpt-5-search-api,,0.963,217.2,642,47.0
24,huggingface,zai-org/GLM-4.7-Flash,,18.492,319.4,964,49.8
25,tokenlb,claude-haiku-4-5-20251001,,2.654,208.5,240,50.6
26,navy,gpt-5.3-codex,,0.744,181.8,205,55.8
27,navy,gpt-5.1,,0.909,179.9,348,56.5
28,dext,kimi-k2.5,,18.927,229.1,992,62.6
29,dext,gpt-oss-120b,,2.223,163.6,843,63.3
30,ovhcloud,gpt-oss-120b,,0.517,157.1,663,64.2
31,dext,kimi-k2.6,,17.157,210.2,1045,64.7
32,ollama-cloud,gpt-oss:20b,,0.446,149.1,606,67.5
33,custom,coding-fast,,2.834,153.0,419,68.2
34,custom,coding-smart,,4.161,140.3,419,75.5
35,ollama-cloud,gpt-oss:120b,,0.453,132.8,315,75.8
36,pooled,MiniMax-M3-Official,,2.808,135.0,470,76.9
37,navy,deepseek-v4-flash,,1.791,126.5,893,80.8
38,navy,gpt-5.2,,0.672,124.7,201,80.9
39,ovhcloud,Qwen3-Coder-30B-A3B-Instruct,,0.600,119.0,751,84.6
40,aitools,zhipu/glm-4.7-flash,,9.314,131.8,212,85.2
41,ovhcloud,gpt-oss-20b,,0.630,113.3,1336,88.9
42,huggingface,zai-org/GLM-5.2,,0.605,99.7,809,100.9
43,dext,llama-3.2-1b-instruct,,2.690,97.5,448,105.2
44,ollama-cloud,gemma4:31b,,0.315,94.4,329,106.2
45,tokenlb,claude-opus-4-6,,3.207,96.5,168,106.9
46,opencode_zen,mimo-v2.5-free,,1.059,90.1,269,112.1
47,huggingface,Qwen/Qwen3-32B,,0.570,89.6,2000,112.2
48,dext,qwen3-30b-a3b-fp8,,1.894,90.0,2000,113.0
49,mistral,mistral-large-latest,,0.368,85.3,237,117.5
50,opencode_zen-nokey,mimo-v2.5-free,,1.011,80.3,354,125.6
51,banana2556,minimax/minimax-m2.7,,5.945,83.4,272,125.9
52,tokenlb,claude-sonnet-4-6,,1.996,79.8,203,127.3
53,pooled,MiniMax-M2.5-Official,,6.389,80.9,2064,130.0
54,navy,deepseek-v4-flash-venice,,3.774,78.7,382,130.8
55,tokenlb,claude-opus-4-7,,2.435,77.8,252,131.0
56,tokenreply,nvidia/nemotron-3-ultra-550b-a55b,,0.988,73.2,284,137.6
57,dext,llama-3.3-70b-instruct-fp8-fast,,1.840,71.1,415,142.6
58,dext,Qwen3-30B-A3B-Instruct-2507,,2.997,70.6,211,144.6
59,navy,deepseek-v4-pro,,3.306,70.7,719,144.7
60,tokenlb,claude-opus-4-8,,2.080,68.9,294,147.2
61,pooled,MiniMax-M2.7-Official,,0.857,68.0,264,148.0
62,tokenlb,claude-sonnet-4-5-20250929,,2.130,65.3,221,155.4
63,dext,glm-4.7-flash,,1.871,64.7,970,156.4
64,dext,llama-4-scout-17b-16e-instruct,,1.647,63.6,514,158.8
65,tokenreply,grok-4.20-fast,,1.192,60.5,392,166.5
66,dext,gemma-sea-lion-v4-27b-it,,1.492,59.5,291,169.6
67,dext,mistral-small-3.1-24b-instruct,,1.756,57.3,418,176.2
68,opencode_zen,north-mini-code-free,,0.336,56.6,1035,176.9
69,opencode_zen-nokey,north-mini-code-free,,0.351,56.1,1222,178.5
70,banana2556,z-ai/glm-4.7-flash,,14.423,59.1,237,183.5
71,opencode_zen-nokey,nemotron-3-ultra-free,,3.947,53.1,416,192.3
72,opencode_zen,nemotron-3-ultra-free,,0.501,52.1,317,192.4
73,tokenlb,claude-opus-4-5-20251101,,2.801,51.8,193,196.0
74,banana2556,qwen/qwen3-vl-235b-a22b-instruct,,3.432,50.6,660,201.1
75,banana2556,z-ai/glm-4.5-air,,16.155,52.3,220,207.3
76,banana2556,openai/gpt-oss-120b,,3.198,48.7,720,208.4
77,ovhcloud,Qwen3.5-9B,,0.721,47.4,384,211.7
78,tokenreply,big-pickle-thinking-free,,,47.0,198,212.6
79,dext,nemotron-3-ultra,,1.598,43.5,412,231.3
80,dext,nemotron-3-120b-a12b,,5.154,40.6,284,251.7
81,bluesminds,deepseek-ai/deepseek-v4-flash,,,37.7,202,265.1
82,dext,deepseek-r1-distill-qwen-32b,,1.657,37.9,826,265.8
83,dext,MiniMax-M2.5,,4.641,37.2,378,273.4
84,tokenreply,google/gemma-4-26b-a4b-it,,1.015,36.1,373,277.9
85,dext,qwq-32b,,1.483,35.6,2000,282.5
86,tokenreply,stepfun-ai/step-3.7-flash,,0.758,35.1,2000,285.8
87,dext,qwen2.5-coder-32b-instruct,,1.776,34.5,313,291.9
88,dext,granite-4.0-h-micro,,2.002,34.3,774,293.4
89,tokenlb,gpt-5.4-mini,,,29.7,159,336.5
90,dext,llama-3.1-70b-instruct-fp8-fast,,2.591,29.8,487,338.5
91,aitools,openai/gpt-oss-20b,,9.634,28.9,358,355.2
92,tokenlb,gpt-5.5,,,27.1,166,369.3
93,huggingface,deepseek-ai/DeepSeek-R1,,0.640,24.3,2000,412.0
94,dext,llama-3.1-8b-instruct-fp8,,1.897,23.3,435,431.0
95,bluesminds,nvidia/llama-3.3-nemotron-super-49b-v1,,,21.9,595,457.6
96,aitools,zhipu/glm-4-flash,,1.888,20.5,301,488.6
97,tokenreply,north-mini-code-thinking-free,,,19.8,331,504.4
98,dext,mistral-7b-instruct-v0.1,,2.091,16.4,455,611.0
99,tokenreply,nemotron-3-ultra-free,,,16.3,162,614.3
100,dext,Qwen3-235B-A22B,,7.378,16.0,289,631.2
101,tokenreply,north-mini-code-free,,,11.8,166,849.2
102,tokenreply,nemotron-3-ultra-thinking-free,,,11.7,202,857.3
103,tokenlb,gpt-5.4,,35.130,7.6,212,1357.2
104,koyeb,minimax-m3,,21.006,7.0,329,1440.1
